,CustomerID,Title,GivenName,MiddleInitial,Surname,CreditCardType,Gender,Age,Location,MotorInsurance,MotorValue,MotorType,HealthInsurance,HealthType,HealthDependentsAdults,HealthDependentsKids,TravelInsurance,TravelType,Prefchannel
0,3,Mr.,Niall,T,Graham,AMEX,male,52,Urban,Yes,17274.0,Single,No,NoHealthType,0,0,No,NoTravelType,Phone
1,6,Mr.,Harry,L,McDonald,AMEX,male,49,Rural,Yes,11735.0,Single,Yes,Level1,2,3,Yes,Business,Phone
2,7,Dr.,Chanelle,L,Hay,AMEX,female,18,Urban,Yes,4884.0,Bundle,No,NoHealthType,0,0,Yes,Backpacker,SMS
3,8,Ms.,Alexandra,J,Ross,AMEX,female,48,Urban,Yes,13879.0,Single,Yes,Level1,1,3,No,NoTravelType,Phone
4,9,Mr.,Bailey,T,Atkinson,NoCreditCard,male,49,Rural,Yes,17294.0,Single,Yes,Level2,1,3,Yes,Standard,Phone
5,10,Dr.,Lily,D,Smart,AMEX,female,20,Urban,Yes,4934.0,Single,No,NoHealthType,0,0,Yes,Premium,SMS
7,15,Mr.,Bradley,J,Kelly,AMEX,male,52,Urban,No,23797.5,NoMotorType,Yes,Level2,2,2,Yes,Standard,Phone
8,25,Ms.,Anya,J,McIntyre,AMEX,female,20,Urban,Yes,5228.0,Bundle,No,NoHealthType,0,0,Yes,Premium,SMS
9,34,Mr.,Kiran,K,Sutherland,AMEX,male,47,Rural,Yes,32809.0,Single,Yes,Level2,2,2,Yes,Standard,Email
10,46,Mr.,George,H,Fry,Visa,male,56,Rural,Yes,16342.0,Single,Yes,Level1,0,2,No,NoTravelType,Phone
11,47,Mr.,Jesse,E,Hill,AMEX,male,19,Urban,Yes,4926.0,Bundle,No,NoHealthType,0,0,Yes,Standard,SMS
12,52,Mr.,Bradley,C,Parry,Visa,male,49,Urban,Yes,35555.0,Single,Yes,Level1,1,3,Yes,Business,Email
13,53,Ms.,Melissa,M,Alexander,AMEX,female,18,Urban,Yes,29236.0,Bundle,No,NoHealthType,0,0,No,NoTravelType,Email
14,56,Mr.,Rian,F,Martin,AMEX,male,24,Rural,Yes,28073.0,Bundle,No,NoHealthType,0,0,Yes,Premium,Email
